Name,wiki,City,Industry,Fortune 1000,Notes
A.C. Moore,https://en.wikipedia.org/wiki/A.C._Moore,"Berlin, NJ",retail,,An American arts and crafts retail chain with 141 locations in the eastern United States
Airgas,https://en.wikipedia.org/wiki/Airgas,"Radnor Township, PA",gases,498,
AlliedBarton,https://en.wikipedia.org/wiki/AlliedBarton,"Conshohocken, PA",security,,
Alpha Card Services,https://en.wikipedia.org/wiki/Alpha_Card_Services,"Huntingdon Valley, PA",financial services,,
Alpha Video,https://en.wikipedia.org/wiki/Alpha_Video,"West Conshohocken, PA",entertainment,,
American Competitiveness Institute,https://en.wikipedia.org/wiki/American_Competitiveness_Institute,Philadelphia,scientific research,,
American Water,https://en.wikipedia.org/wiki/American_Water,"Voorhees, NJ",utility,,
AmeriGas,https://en.wikipedia.org/wiki/AmeriGas,"King of Prussia, PA",gas,,
AmerisourceBergen,https://en.wikipedia.org/wiki/AmerisourceBergen,"Chesterbrook, PA",drug wholesale,28,
Ametek,https://en.wikipedia.org/wiki/Ametek,"Paoli, PA",electronics,649,
Amoroso's Baking Company,https://en.wikipedia.org/wiki/Amoroso%27s_Baking_Company,Philadelphia,food,,
Aqua America,https://en.wikipedia.org/wiki/Aqua_America,"Bryn Mawr, PA",utilities,,
Aramark,https://en.wikipedia.org/wiki/Aramark,Philadelphia,hospitality,209,
Axalta Coating Systems,https://en.wikipedia.org/wiki/Axalta_Coating_Systems,Philadelphia,coatings,,
Ballard Spahr LLP,https://en.wikipedia.org/wiki/Ballard_Spahr_LLP,Philadelphia,law,,
Beneficial Bank,https://en.wikipedia.org/wiki/Beneficial_Bank,Philadelphia,financial,,Oldest and largest bank with headquarters in Philadelphia[1]
Blank Rome,https://en.wikipedia.org/wiki/Blank_Rome,Philadelphia,law,,
Boscov's,https://en.wikipedia.org/wiki/Boscov%27s,"Reading, PA",retail,,
Brandywine Realty Trust,https://en.wikipedia.org/wiki/Brandywine_Realty_Trust,"Radnor, PA",real estate,,
Burlington Stores,https://en.wikipedia.org/wiki/Burlington_Stores,"Burlington, NJ",apparel,551,
Calkins Media,https://en.wikipedia.org/wiki/Calkins_Media,"Levittown, PA",media,,
Campbell Soup Company,https://en.wikipedia.org/wiki/Campbell_Soup_Company,"Camden, New Jersey",food,315,
Carpenter,https://en.wikipedia.org/wiki/Carpenter,"Reading, PA",metals,899,
CDI,https://en.wikipedia.org/wiki/CDI,Philadelphia,engineering services,,
Cephalon,https://en.wikipedia.org/wiki/Cephalon,"Frazer, PA",pharmaceuticals,,
Charming Shoppes,https://en.wikipedia.org/wiki/Charming_Shoppes,"Bensalem, PA",apparel,,
Checkpoint Systems,https://en.wikipedia.org/wiki/Checkpoint_Systems,Philadelphia,manufacturing,,
Chemtura,https://en.wikipedia.org/wiki/Chemtura,Philadelphia,manufacturing,775,
Ciright Systems,https://en.wikipedia.org/wiki/Ciright_Systems,Conshohocken,manufacturing,,
Comcast,https://en.wikipedia.org/wiki/Comcast,Philadelphia,telecommunications,44,
Comcast Spectacor,https://en.wikipedia.org/wiki/Comcast_Spectacor,Philadelphia,entertainment,,
Conrail Shared Assets Operations,https://en.wikipedia.org/wiki/Conrail_Shared_Assets_Operations,Philadelphia,railroad,,
Cozen O'Connor,https://en.wikipedia.org/wiki/Cozen_O%27Connor,Philadelphia,law,,
Crown Holdings,https://en.wikipedia.org/wiki/Crown_Holdings,Philadelphia,packaging,313,
CSS Industries,https://en.wikipedia.org/wiki/CSS_Industries,Philadelphia,manufacturing,,
CubeSmart,https://en.wikipedia.org/wiki/CubeSmart,"Malvern, PA",REIT providing self-storage facilities,,
David's Bridal,https://en.wikipedia.org/wiki/David%27s_Bridal,"Conshohocken, PA",specialty retail,,bridal and special occasion dresses
Day & Zimmermann,https://en.wikipedia.org/wiki/Day_%26_Zimmermann,Philadelphia,construction,,
Dechert,https://en.wikipedia.org/wiki/Dechert,Philadelphia,law,,
Destination Maternity,https://en.wikipedia.org/wiki/Destination_Maternity,Philadelphia,apparel,,
Disston Precision,https://en.wikipedia.org/wiki/Disston_Precision,Philadelphia,manufacturing,,
Dollar Financial Group,https://en.wikipedia.org/wiki/Dollar_Financial_Group,Philadelphia,finance,,
Drinker Biddle & Reath,https://en.wikipedia.org/wiki/Drinker_Biddle_%26_Reath,Philadelphia,law,,
Duane Morris,https://en.wikipedia.org/wiki/Duane_Morris,Philadelphia,law,,
DuPont,https://en.wikipedia.org/wiki/DuPont,"Wilmington, DE",chemicals,86,
Endo Pharmaceuticals,https://en.wikipedia.org/wiki/Endo_Pharmaceuticals,"Chadds Ford, PA",drugs,766,
Entercom,https://en.wikipedia.org/wiki/Entercom,"Bala Cynwyd, PA",media,,
ERT,https://en.wikipedia.org/wiki/ERT,Philadelphia,healthcare,,
Fiserv,https://en.wikipedia.org/wiki/Fiserv,"King of Prussia, PA",Financial Services,,
Five Below,https://en.wikipedia.org/wiki/Five_Below,"Philadelphia, PA",Retail,,
FMC,https://en.wikipedia.org/wiki/FMC,Philadelphia,chemicals,581,
Fox Rothschild,https://en.wikipedia.org/wiki/Fox_Rothschild,Philadelphia,law,,
Frankford Candy & Chocolate Company,https://en.wikipedia.org/wiki/Frankford_Candy_%26_Chocolate_Company,Philadelphia,food,,
Fuji Advanced Sports,https://en.wikipedia.org/wiki/Fuji_Advanced_Sports,Philadelphia,bicycles,,
Garfield Refining,https://en.wikipedia.org/wiki/Garfield_Refining,Philadelphia,precious metal refining,,
Genesis HealthCare,https://en.wikipedia.org/wiki/Genesis_HealthCare,"Kennett Square, PA",healthcare,,
Harleysville Group,https://en.wikipedia.org/wiki/Harleysville_Group,"Harleysville, PA",insurance,,
Hill International,https://en.wikipedia.org/wiki/Hill_International,"Philadelphia, PA",construction,,
Holtec International,https://en.wikipedia.org/wiki/Holtec_International,"Marlton, NJ",nuclear power equipment,,
InterDigital,https://en.wikipedia.org/wiki/InterDigital,"Wilmington, DE",telecommunications,,
Internet Capital Group,https://en.wikipedia.org/wiki/Internet_Capital_Group,"Wayne, PA",finance,,
Iron Stone Strategic Capital Partners,https://en.wikipedia.org/wiki/Iron_Stone_Strategic_Capital_Partners,Philadelphia,real estate,,
J & J Snack Foods,https://en.wikipedia.org/wiki/J_%26_J_Snack_Foods,"Pennsauken, NJ",food,,
JJ White[2],https://en.wikipedia.org/wiki/JJ_White,Philadelphia,construction,,
Kenexa,https://en.wikipedia.org/wiki/Kenexa,"Wayne, PA",employment solutions,,
Knoll,https://en.wikipedia.org/wiki/Knoll,"East Greenville, PA",furniture,,
League Collegiate Wear,https://en.wikipedia.org/wiki/League_Collegiate_Wear,"Bridgeport, PA",apparel,,
LexisNexis Risk Solutions,https://en.wikipedia.org/wiki/LexisNexis_Risk_Solutions,"King of Prussia, PA",Health Care,,
Liberty Property Trust,https://en.wikipedia.org/wiki/Liberty_Property_Trust,"Malvern, PA",real estate,,
